carolynprh-macbookpro:~ carolynprh$ kubectl -n istio-system top pods -listio=ingressgateway
NAME                                    CPU(cores)   MEMORY(bytes)
fortioserver-5fd8b9c87f-lwj4f   istio-proxy   246m         67Mi
fortioserver-5fd8b9c87f-mzvlg   shell         0m           0Mi
fortioserver-5fd8b9c87f-mzvlg   uncaptured    0m           3Mi
fortioserver-5fd8b9c87f-mzvlg   istio-proxy   254m         68Mi
fortioserver-5fd8b9c87f-mzvlg   captured      274m         11Mi
fortioserver-5fd8b9c87f-nzj7c   uncaptured    1m           3Mi
fortioserver-5fd8b9c87f-nzj7c   captured      276m         11Mi
fortioserver-5fd8b9c87f-nzj7c   istio-proxy   259m         68Mi
fortioserver-5fd8b9c87f-nzj7c   shell         0m           1Mi
fortioserver-5fd8b9c87f-qcvn6   captured      242m         11Mi
fortioserver-5fd8b9c87f-qcvn6   shell         0m           0Mi
fortioserver-5fd8b9c87f-qcvn6   istio-proxy   250m         68Mi
fortioserver-5fd8b9c87f-qcvn6   uncaptured    0m           3Mi
fortioserver-5fd8b9c87f-qpklw   shell         0m           0Mi
fortioserver-5fd8b9c87f-qpklw   uncaptured    1m           3Mi
fortioserver-5fd8b9c87f-qpklw   istio-proxy   254m         68Mi
fortioserver-5fd8b9c87f-qpklw   captured      255m         11Mi
fortioserver-5fd8b9c87f-rkf2d   uncaptured    1m           3Mi
fortioserver-5fd8b9c87f-rkf2d   captured      241m         11Mi
fortioserver-5fd8b9c87f-rkf2d   shell         0m           0Mi
fortioserver-5fd8b9c87f-rkf2d   istio-proxy   255m         67Mi
fortioserver-5fd8b9c87f-s49s8   uncaptured    0m           3Mi
fortioserver-5fd8b9c87f-s49s8   shell         0m           1Mi
fortioserver-5fd8b9c87f-s49s8   istio-proxy   251m         67Mi
fortioserver-5fd8b9c87f-s49s8   captured      237m         11Mi
fortioserver-5fd8b9c87f-xbwq6   istio-proxy   243m         67Mi
fortioserver-5fd8b9c87f-xbwq6   uncaptured    0m           3Mi
fortioserver-5fd8b9c87f-xbwq6   shell         0m           0Mi
fortioserver-5fd8b9c87f-xbwq6   captured      267m         11Mi
carolynprh-macbookpro:~ carolynprh$
