StartTime,ActualDuration,Labels,NumThreads,ActualQPS,p50,p90,p99,cpu_mili_avg_telemetry_mixer,cpu_mili_max_telemetry_mixer,mem_MB_max_telemetry_mixer,cpu_mili_avg_fortioserver_deployment_proxy,cpu_mili_max_fortioserver_deployment_proxy,mem_MB_max_fortioserver_deployment_proxy,cpu_mili_avg_ingressgateway_proxy,cpu_mili_max_ingressgateway_proxy,mem_MB_max_ingressgateway_proxy
2020-01-02T23:44:50.996811644Z,240,e8975459_qps_1000_c_64_1024_mixer_base,64,1000,634,2023,2898,1,2,57,2,3,52,29,49,220
2020-01-02T23:40:50.167809067Z,240,e8975459_qps_1000_c_64_1024_mixer_both,64,1000,8992,14098,17347,906,1810,57,250,445,52,27,38,220
2020-01-02T23:36:49.295712959Z,240,e8975459_qps_1000_c_64_1024_mixer_serveronly,64,1000,5652,8939,10982,409,514,57,177,382,51,28,37,220
2020-01-02T23:32:47.825658033Z,240,e8975459_qps_1000_c_32_1024_mixer_base,32,1000,546,1498,2350,5,9,57,2,3,50,28,34,219
2020-01-02T23:28:47.073800751Z,240,e8975459_qps_1000_c_32_1024_mixer_both,32,1000,5691,9854,13157,851,1567,57,269,470,50,27,35,219
2020-01-02T23:24:46.302586176Z,240,e8975459_qps_1000_c_32_1024_mixer_serveronly,32,1000,2653,5231,6794,383,683,57,175,244,49,29,38,219
2020-01-02T23:20:42.791406099Z,240,e8975459_qps_1000_c_16_1024_mixer_base,16,1000,419,558,1092,5,10,57,2,4,48,28,39,218
2020-01-02T23:16:42.030037394Z,240,e8975459_qps_1000_c_16_1024_mixer_both,16,1000,3002,5951,7604,773,1805,58,295,531,48,28,38,218
2020-01-02T23:12:41.201356991Z,240,e8975459_qps_1000_c_16_1024_mixer_serveronly,16,1000,1340,1747,4577,409,697,57,188,381,48,28,41,218
2020-01-02T23:08:39.666190245Z,240,e8975459_qps_1000_c_8_1024_mixer_base,8,1000,350,474,688,7,17,57,2,3,48,29,39,218
2020-01-02T23:04:38.964349351Z,240,e8975459_qps_1000_c_8_1024_mixer_both,8,1000,1596,1976,5424,906,1406,57,270,367,48,29,38,218
2020-01-02T23:00:37.982004594Z,240,e8975459_qps_1000_c_8_1024_mixer_serveronly,8,1000,834,1140,3884,404,488,57,228,335,47,27,40,217
2020-01-02T22:56:36.522895653Z,240,e8975459_qps_1000_c_4_1024_mixer_base,4,1000,310,434,619,12,30,56,2,2,47,34,55,217
2020-01-02T22:52:35.823993237Z,240,e8975459_qps_1000_c_4_1024_mixer_both,4,1000,1166,1469,4626,894,1172,56,310,373,47,33,51,217
2020-01-02T22:48:35.100375375Z,240,e8975459_qps_1000_c_4_1024_mixer_serveronly,4,1000,665,889,3620,427,849,56,230,480,46,27,36,215
2020-01-02T22:44:33.436901151Z,240,e8975459_qps_1000_c_2_1024_mixer_base,2,1000,270,377,539,22,34,56,2,6,46,40,52,215
2020-01-02T22:40:32.71479931Z,240,e8975459_qps_1000_c_2_1024_mixer_both,2,1000,879,1050,7003,841,1580,56,365,480,46,25,34,210
2020-01-02T22:36:31.948306199Z,240,e8975459_qps_1000_c_2_1024_mixer_serveronly,2,1000,577,765,3076,419,794,48,215,313,44,27,38,210
2020-01-02T22:32:30.520791542Z,240,e8975459_qps_1000_c_1_1024_mixer_base,1,1000,214,251,348,2,11,48,2,5,44,29,36,210
2020-01-02T22:28:29.783203304Z,240,e8975459_qps_1000_c_1_1024_mixer_both,1,1000,820,947,6001,925,1688,43,337,629,44,27,39,209
2020-01-02T22:24:29.065917583Z,240,e8975459_qps_1000_c_1_1024_mixer_serveronly,1,1000,434,504,2513,413,552,38,261,440,43,25,31,208
